"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","Age Group","nq(x)","l(x)","nd(x)","nL(x)","T(x)","e(x)","se(nq(x))","se(e(x))"
48001950100,48,001,950100,"Under 1",0.00578,100000,578,99480,8241555,82.4,0.0042,1.65
48001950100,48,001,950100,"1-4",0.001458,99422,145,397398,8142075,81.9,0.0003,1.6225
48001950100,48,001,950100,"5-14",0.00159,99277,158,991981,7744677,78,0.0002,1.6247
48001950100,48,001,950100,"15-24",0.010239,99119,1015,986117,6752696,68.1,0.006,1.6272
48001950100,48,001,950100,"25-34",0.006793,98104,666,977710,5766579,58.8,0.0049,1.5974
48001950100,48,001,950100,"35-44",0.022138,97438,2157,963592,4788869,49.1,0.0088,1.5864
48001950100,48,001,950100,"45-54",0.030718,95281,2927,938173,3825277,40.1,0.0089,1.5702
48001950100,48,001,950100,"55-64",0.046199,92354,4267,902205,2887104,31.3,0.0105,1.5851
48001950100,48,001,950100,"65-74",0.105492,88087,9292,834410,1984899,22.5,0.0194,1.6341
48001950100,48,001,950100,"75-84",0.203022,78795,15997,707962,1150489,14.6,0.0353,1.7768
48001950100,48,001,950100,"85 and older",1,62798,62798,442527,442527,7,0.0436,2.1644
48001950500,48,001,950500,"Under 1",0.006379,100000,638,99426,7685858,76.9,0.0048,1.7439
48001950500,48,001,950500,"1-4",0.002068,99362,205,397037,7586432,76.4,0.0021,1.7149
48001950500,48,001,950500,"5-14",0.001218,99157,121,990962,7189395,72.5,0.0002,1.7113
48001950500,48,001,950500,"15-24",0.005077,99036,503,987844,6198433,62.6,0.0037,1.7133
48001950500,48,001,950500,"25-34",0.018382,98533,1811,976274,5210588,52.9,0.008,1.7087
48001950500,48,001,950500,"35-44",0.02811,96722,2719,953623,4234314,43.8,0.0108,1.695
48001950500,48,001,950500,"45-54",0.057385,94003,5394,913057,3280691,34.9,0.0148,1.6867
48001950500,48,001,950500,"55-64",0.141232,88609,12514,823514,2367634,26.7,0.0287,1.7187
48001950500,48,001,950500,"65-74",0.213169,76094,16221,679837,1544120,20.3,0.0399,1.8142
48001950500,48,001,950500,"75-84",0.360129,59873,21562,490922,864282,14.4,0.0818,2.0848
48001950500,48,001,950500,"85 and older",1,38311,38311,373360,373360,9.7,0.028,2.6569
48001950600,48,001,950600,"Under 1",0.001386,100000,139,99875,7112797,71.1,0.0014,1.0487
48001950600,48,001,950600,"1-4",0.004474,99861,447,398552,7012922,70.2,0.0027,1.0454
48001950600,48,001,950600,"5-14",0.001401,99415,139,993450,6614370,66.5,0.0002,1.0341
48001950600,48,001,950600,"15-24",0.022284,99275,2212,981692,5620919,56.6,0.0071,1.0355
48001950600,48,001,950600,"25-34",0.014225,97063,1381,963728,4639227,47.8,0.0051,0.9871
48001950600,48,001,950600,"35-44",0.022968,95682,2198,945836,3675500,38.4,0.0075,0.9759
48001950600,48,001,950600,"45-54",0.095622,93485,8939,890152,2729664,29.2,0.0192,0.9635
48001950600,48,001,950600,"55-64",0.136196,84546,11515,787882,1839512,21.8,0.0242,0.9008
48001950600,48,001,950600,"65-74",0.24961,73031,18229,639162,1051630,14.4,0.0408,0.8907
48001950600,48,001,950600,"75-84",0.688847,54802,37750,359266,412468,7.5,0.1146,0.9724
48001950600,48,001,950600,"85 and older",1,17052,17052,53201,53201,3.1,0.0932,0.9075
48001950700,48,001,950700,"Under 1",0.003483,100000,348,99687,7127287,71.3,0.0035,1.4299
48001950700,48,001,950700,"1-4",0.001122,99652,112,398383,7027601,70.5,0.0002,1.4127
48001950700,48,001,950700,"5-14",0.009394,99540,935,990723,6629218,66.6,0.0067,1.4142
48001950700,48,001,950700,"15-24",0.003357,98605,331,984393,5638494,57.2,0.0034,1.3637
48001950700,48,001,950700,"25-34",0.026076,98274,2563,969925,4654101,47.4,0.0114,1.3566
48001950700,48,001,950700,"35-44",0.016688,95711,1597,949127,3684176,38.5,0.0088,1.2961
48001950700,48,001,950700,"45-54",0.066858,94114,6292,909679,2735049,29.1,0.0198,1.2826
48001950700,48,001,950700,"55-64",0.159501,87822,14008,808180,1825370,20.8,0.0385,1.2611
48001950700,48,001,950700,"65-74",0.230643,73814,17025,653018,1017190,13.8,0.0513,1.2288
48001950700,48,001,950700,"75-84",0.862385,56789,48974,323023,364172,6.4,0.1354,1.4038
48001950700,48,001,950700,"85 and older",1,7815,7815,41149,41149,5.3,0.052,1.4429
48001950800,48,001,950800,"Under 1",0.003539,100000,354,99681,7610232,76.1,0.0026,1.2963
48001950800,48,001,950800,"1-4",0.0008,99646,80,398425,7510551,75.4,0.0002,1.286
